,Parcel ID,Land Use,Property City,Sale Date,Sale Price,Sold As Vacant,Multiple Parcels Involved in Sale,City,State,Acreage,Neighborhood,Land Value,Building Value,Total Value,Finished Area,Foundation Type,Year Built,Exterior Wall,Grade,Bedrooms,Full Bath,Half Bath
13,133 14 0 084.00,VACANT RES LAND,NASHVILLE,2013-01-23,55000,No,No,NASHVILLE,TN,0.41,4026.0,35500.0,201300.0,236800.0,1960.0,CRAWL,2013.0,BRICK,C   ,4.0,2.0,1.0
14,134 13 0 004.00,SINGLE FAMILY,NASHVILLE,2013-01-18,115900,No,No,NASHVILLE,TN,0.25,3926.0,21500.0,81700.0,103200.0,1474.0,FULL BSMT,1960.0,BRICK,C   ,2.0,1.0,1.0
15,134 13 0 077.00,SINGLE FAMILY,NASHVILLE,2013-01-17,120000,No,No,NASHVILLE,TN,0.27,3926.0,21500.0,92000.0,116300.0,1600.0,SLAB,1962.0,BRICK,C   ,4.0,1.0,1.0
16,146 15 0 123.00,SINGLE FAMILY,NASHVILLE,2013-01-04,262500,No,No,NASHVILLE,TN,0.35,4026.0,47000.0,213600.0,269000.0,1436.0,CRAWL,1955.0,BRICK,C   ,2.0,2.0,0.0
17,147 03 0B 089.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-29,31416,No,No,,,,,,,,,,,,,,,
18,147 12 0A 109.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-16,127500,No,No,,,,,,,,,,,,,,,
19,148 01 0 188.00,DUPLEX,NASHVILLE,2013-01-31,112500,No,No,NASHVILLE,TN,0.27,3927.0,28000.0,71100.0,99100.0,1436.0,CRAWL,1970.0,BRICK,C   ,4.0,2.0,0.0
20,148 10 0 051.00,SINGLE FAMILY,NASHVILLE,2013-01-08,134000,No,No,NASHVILLE,TN,0.36,3927.0,21000.0,83100.0,104300.0,1455.0,CRAWL,1958.0,BRICK,C   ,3.0,2.0,0.0
21,148 14 0 004.00,SINGLE FAMILY,NASHVILLE,2013-01-18,48000,No,No,NASHVILLE,TN,0.44,3927.0,21000.0,53400.0,74400.0,950.0,CRAWL,1958.0,BRICK,C   ,2.0,1.0,0.0
22,148 14 0 062.00,SINGLE FAMILY,NASHVILLE,2013-01-22,127000,No,No,NASHVILLE,TN,0.42,3927.0,21000.0,107100.0,128100.0,1927.0,CRAWL,1959.0,BRICK,C   ,4.0,2.0,0.0
23,148 15 0 231.00,SINGLE FAMILY,NASHVILLE,2013-01-08,92900,No,No,NASHVILLE,TN,0.19,3928.0,15000.0,66600.0,81600.0,1293.0,CRAWL,1980.0,FRAME,C   ,4.0,1.0,1.0
24,160 03 0 127.00,SINGLE FAMILY,NASHVILLE,2013-01-04,267300,No,No,NASHVILLE,TN,0.76,4026.0,55000.0,300400.0,355400.0,2370.0,FULL BSMT,1968.0,BRICK,B   ,4.0,2.0,0.0
25,160 11 0A 088.00,SINGLE FAMILY,BRENTWOOD,2013-01-15,270000,No,No,,,,,,,,,,,,,,,
26,160 16 0B 019.00,SINGLE FAMILY,BRENTWOOD,2013-01-25,295000,No,No,,,,,,,,,,,,,,,
27,161 02 0 005.00,SINGLE FAMILY,NASHVILLE,2013-01-28,187000,No,No,NASHVILLE,TN,0.52,4028.0,36500.0,151300.0,187800.0,2010.0,CRAWL,1965.0,BRICK,C   ,3.0,2.0,0.0
28,161 10 0A 139.00,SINGLE FAMILY,NASHVILLE,2013-01-25,137000,No,No,,,,,,,,,,,,,,,
29,161 10 0B 164.00,SINGLE FAMILY,NASHVILLE,2013-01-25,216000,No,No,,,,,,,,,,,,,,,
30,161 11 0A 151.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-15,101000,No,No,,,,,,,,,,,,,,,
31,161 11 0C 018.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-04,113000,No,No,,,,,,,,,,,,,,,
32,162 02 0A 008.00,SINGLE FAMILY,ANTIOCH,2013-01-07,134825,No,No,,,,,,,,,,,,,,,
33,162 06 0 012.00,SINGLE FAMILY,ANTIOCH,2013-01-15,109900,No,No,ANTIOCH,TN,0.28,3929.0,24000.0,77400.0,101400.0,1247.0,CRAWL,1968.0,BRICK,C   ,3.0,1.0,1.0
34,162 13 0A 015.00,SINGLE FAMILY,ANTIOCH,2013-01-04,152950,No,No,,,,,,,,,,,,,,,
35,171 03 0B 082.00,RESIDENTIAL CONDO,BRENTWOOD,2013-01-25,261000,No,No,,,,,,,,,,,,,,,
36,171 03 0B 193.00,RESIDENTIAL CONDO,BRENTWOOD,2013-01-17,234900,No,No,,,,,,,,,,,,,,,
37,171 03 0B 212.00,RESIDENTIAL CONDO,BRENTWOOD,2013-01-18,180000,No,No,,,,,,,,,,,,,,,
38,171 04 0C 051.00,RESIDENTIAL CONDO,BRENTWOOD,2013-01-10,254800,No,No,,,,,,,,,,,,,,,
39,171 08 0C 011.00,VACANT RES LAND,BRENTWOOD,2013-01-07,80000,No,No,,,,,,,,,,,,,,,
40,172 12 0B 226.00,SINGLE FAMILY,NASHVILLE,2013-01-25,183800,No,No,,,,,,,,,,,,,,,
41,172 12 0D 063.00,SINGLE FAMILY,NASHVILLE,2013-01-07,153900,No,No,,,,,,,,,,,,,,,
42,172 12 0D 428.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-10,116500,No,No,,,,,,,,,,,,,,,
43,172 15 0A 267.00,SINGLE FAMILY,NASHVILLE,2013-01-08,210000,No,No,,,,,,,,,,,,,,,
44,172 15 0C 002.00,SINGLE FAMILY,NASHVILLE,2013-01-22,337000,No,No,,,,,,,,,,,,,,,
45,173 04 0A 202.00,SINGLE FAMILY,ANTIOCH,2013-01-18,195000,No,No,,,,,,,,,,,,,,,
46,173 04 0A 274.00,SINGLE FAMILY,ANTIOCH,2013-01-18,230000,No,No,,,,,,,,,,,,,,,
47,173 08 0A 094.00,VACANT RES LAND,ANTIOCH,2013-01-22,105000,No,Yes,,,,,,,,,,,,,,,
48,173 08 0A 119.00,VACANT RES LAND,ANTIOCH,2013-01-29,45000,No,No,,,,,,,,,,,,,,,
49,173 08 0A 141.00,VACANT RES LAND,ANTIOCH,2013-01-22,105000,No,Yes,,,,,,,,,,,,,,,
50,173 08 0A 142.00,VACANT RES LAND,ANTIOCH,2013-01-22,105000,No,Yes,,,,,,,,,,,,,,,
51,173 09 0A 038.00,SINGLE FAMILY,NASHVILLE,2013-01-18,170000,No,No,,,,,,,,,,,,,,,
52,173 09 0A 072.00,SINGLE FAMILY,NASHVILLE,2013-01-07,161000,No,No,,,,,,,,,,,,,,,
53,173 09 0A 072.00,SINGLE FAMILY,NASHVILLE,2013-01-07,161000,No,No,,,,,,,,,,,,,,,
54,173 09 0A 127.00,SINGLE FAMILY,NASHVILLE,2013-01-14,227000,No,No,,,,,,,,,,,,,,,
55,173 09 0A 136.00,SINGLE FAMILY,NASHVILLE,2013-01-10,242500,No,No,,,,,,,,,,,,,,,
56,173 09 0B 019.00,SINGLE FAMILY,ANTIOCH,2013-01-10,225000,No,No,,,,,,,,,,,,,,,
57,173 09 0B 094.00,VACANT RES LAND,ANTIOCH,2013-01-07,35000,No,No,,,,,,,,,,,,,,,
58,173 09 0B 100.00,VACANT RES LAND,ANTIOCH,2013-01-07,35000,No,No,,,,,,,,,,,,,,,
59,173 10 0C 009.00,SINGLE FAMILY,ANTIOCH,2013-01-16,207000,No,No,,,,,,,,,,,,,,,
60,173 11 0A 086.00,SINGLE FAMILY,ANTIOCH,2013-01-11,162000,No,No,,,,,,,,,,,,,,,
61,174 01 0A 104.00,SINGLE FAMILY,ANTIOCH,2013-01-04,171990,No,No,,,,,,,,,,,,,,,
62,180 02 0A 082.00,SINGLE FAMILY,NASHVILLE,2013-01-22,374900,No,No,,,,,,,,,,,,,,,
63,180 04 0B 059.00,SINGLE FAMILY,NASHVILLE,2013-01-23,271250,No,No,,,,,,,,,,,,,,,
64,180 04 0B 133.00,SINGLE FAMILY,NASHVILLE,2013-01-17,305000,No,No,,,,,,,,,,,,,,,
65,180 04 0B 151.00,SINGLE FAMILY,NASHVILLE,2013-01-25,320000,No,No,,,,,,,,,,,,,,,
66,181 01 0B 183.00,VACANT RES LAND,NASHVILLE,2013-01-15,45000,No,No,,,,,,,,,,,,,,,
67,181 01 0B 250.00,SINGLE FAMILY,NASHVILLE,2013-01-08,90000,No,Yes,,,,,,,,,,,,,,,
68,181 01 0B 254.00,SINGLE FAMILY,NASHVILLE,2013-01-08,90000,No,Yes,,,,,,,,,,,,,,,
69,181 02 0A 061.00,RESIDENTIAL CONDO,ANTIOCH,2013-01-15,135500,No,No,,,,,,,,,,,,,,,
70,181 02 0A 237.00,VACANT RES LAND,ANTIOCH,2013-01-25,139144,No,No,,,,,,,,,,,,,,,
71,181 03 0A 006.00,SINGLE FAMILY,ANTIOCH,2013-01-18,185000,No,No,,,,,,,,,,,,,,,
72,181 03 0A 271.00,VACANT RES LAND,ANTIOCH,2013-01-23,45000,No,No,,,,,,,,,,,,,,,
73,181 03 0A 280.00,VACANT RES LAND,ANTIOCH,2013-01-23,45000,No,No,,,,,,,,,,,,,,,
74,181 03 0A 290.00,VACANT RES LAND,BRENTWOOD,2013-01-22,45000,No,No,,,,,,,,,,,,,,,
75,181 10 0D 012.00,VACANT RES LAND,BRENTWOOD,2013-01-28,80000,No,No,,,,,,,,,,,,,,,
76,181 11 0B 113.00,SINGLE FAMILY,BRENTWOOD,2013-01-07,200000,No,No,,,,,,,,,,,,,,,
77,182 06 0A 071.00,SINGLE FAMILY,ANTIOCH,2013-01-03,154000,No,No,,,,,,,,,,,,,,,
78,182 06 0A 278.00,SINGLE FAMILY,ANTIOCH,2013-01-04,157000,No,No,,,,,,,,,,,,,,,
79,182 06 0A 351.00,SINGLE FAMILY,ANTIOCH,2013-01-24,139000,No,No,,,,,,,,,,,,,,,
80,182 12 0A 131.00,SINGLE FAMILY,ANTIOCH,2013-01-09,190000,No,No,,,,,,,,,,,,,,,
81,182 12 0A 145.00,VACANT RES LAND,ANTIOCH,2013-01-04,50000,No,Yes,,,,,,,,,,,,,,,
82,182 12 0A 148.00,VACANT RES LAND,ANTIOCH,2013-01-04,50000,No,Yes,,,,,,,,,,,,,,,
83,186 04 0A 238.00,SINGLE FAMILY,NOLENSVILLE,2013-01-24,339900,No,No,,,,,,,,,,,,,,,
84,091 13 0 269.00,SINGLE FAMILY,NASHVILLE,2013-01-24,131350,No,No,NASHVILLE,TN,0.17,3330.0,32000.0,89200.0,121200.0,1353.60001,FULL BSMT,1949.0,BRICK,C   ,4.0,2.0,0.0
85,091 15 0 102.00,SINGLE FAMILY,NASHVILLE,2013-01-14,285000,No,No,NASHVILLE,TN,0.17,2526.0,120000.0,143200.0,268900.0,1391.0,CRAWL,1930.0,FRAME,C   ,2.0,2.0,0.0
86,091 16 0 256.00,DUPLEX,NASHVILLE,2013-01-11,450000,No,No,NASHVILLE,TN,0.34,2526.0,165000.0,103000.0,268000.0,1650.0,CRAWL,1968.0,BRICK,C   ,4.0,2.0,0.0
87,092 06 0 440.00,VACANT RES LAND,NASHVILLE,2013-01-15,16000,No,No,NASHVILLE,TN,0.11,1129.0,9000.0,0.0,9000.0,,,,,,,,
88,092 06 0 622.00,VACANT RES LAND,NASHVILLE,2013-01-16,17000,No,Yes,NASHVILLE,TN,0.18,1129.0,11000.0,0.0,11000.0,,,,,,,,
89,092 06 0 657.01,VACANT RES LAND,NASHVILLE,2013-01-16,17000,No,Yes,NASHVILLE,TN,0.13,1129.0,11000.0,0.0,11000.0,,,,,,,,
90,092 07 0 199.00,VACANT RES LAND,NASHVILLE,2013-01-15,27000,No,Yes,NASHVILLE,TN,0.19,1129.0,11000.0,0.0,11000.0,,,,,,,,
91,092 07 0 425.00,VACANT RES LAND,NASHVILLE,2013-01-15,27000,No,Yes,NASHVILLE,TN,0.19,1129.0,11000.0,0.0,11000.0,,,,,,,0.0,0.0
92,092 09 0 215.00,DUPLEX,NASHVILLE,2013-01-23,63500,No,No,NASHVILLE,TN,0.15,1126.0,20000.0,76700.0,96700.0,2000.0,SLAB,1988.0,BRICK,D   ,6.0,4.0,0.0
93,092 10 0 129.00,VACANT RES LAND,NASHVILLE,2013-01-15,16000,No,No,NASHVILLE,TN,0.17,1129.0,11000.0,0.0,11000.0,,,,,,,,
94,092 13 0 272.00,SINGLE FAMILY,NASHVILLE,2013-01-24,130000,No,No,NASHVILLE,TN,0.17,1126.0,65000.0,63600.0,130200.0,1296.0,FULL BSMT,1958.0,FRAME,D   ,2.0,1.0,0.0
95,092 16 0B 021.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-25,118000,No,No,,,,,,,,,,,,,,,
96,092 16 0E 054.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-07,900000,No,No,,,,,,,,,,,,,,,
97,092 16 0E 121.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-23,390000,No,No,,,,,,,,,,,,,,,
98,093 09 0A 006.00,CONDO,NASHVILLE,2013-01-16,227000,No,No,,,,,,,,,,,,,,,
99,102 07 0A 019.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-17,49500,No,No,,,,,,,,,,,,,,,
100,102 07 0A 049.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-11,40000,No,No,,,,,,,,,,,,,,,
101,103 03 0 023.00,SINGLE FAMILY,NASHVILLE,2013-01-16,194000,No,No,NASHVILLE,TN,0.41,3339.0,45000.0,112700.0,157700.0,1032.0,PT BSMT,1953.0,FRAME,C   ,3.0,1.0,0.0
102,103 03 0 126.00,SINGLE FAMILY,NASHVILLE,2013-01-09,207500,No,No,NASHVILLE,TN,0.17,2526.0,150000.0,510200.0,660200.0,3650.0,PT BSMT,2014.0,FRAME,B   ,4.0,4.0,0.0
103,103 08 0 206.00,SINGLE FAMILY,NASHVILLE,2013-01-18,295000,No,No,NASHVILLE,TN,0.19,2626.0,160000.0,111400.0,273500.0,920.0,CRAWL,1950.0,BRICK,C   ,2.0,1.0,0.0
104,103 10 0 089.00,SINGLE FAMILY,NASHVILLE,2013-01-23,260000,No,No,NASHVILLE,TN,0.52,3332.0,65000.0,195600.0,260600.0,1723.0,CRAWL,1953.0,BRICK,B   ,3.0,2.0,0.0
105,103 14 0A 034.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-29,149900,No,No,,,,,,,,,,,,,,,
106,103 14 0A 048.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-11,186500,No,No,,,,,,,,,,,,,,,
107,103 16 0C 107.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-30,117600,No,No,,,,,,,,,,,,,,,
108,103 16 0C 403.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-08,225000,No,No,,,,,,,,,,,,,,,
109,104 01 0 244.00,ZERO LOT LINE,NASHVILLE,2013-01-11,138000,No,No,NASHVILLE,TN,0.08,2526.0,105000.0,44900.0,149900.0,810.0,CRAWL,1983.0,BRICK/FRAME,C   ,2.0,1.0,0.0
110,104 01 0 444.00,ZERO LOT LINE,NASHVILLE,2013-01-11,138000,No,No,NASHVILLE,TN,0.08,2526.0,105000.0,44900.0,149900.0,810.0,CRAWL,1983.0,BRICK/FRAME,C   ,2.0,1.0,0.0
111,104 05 0 361.00,SINGLE FAMILY,NASHVILLE,2013-01-15,270000,No,No,NASHVILLE,TN,0.22,2626.0,175000.0,485900.0,660900.0,3308.32501,FULL BSMT,1930.0,FRAME,B   ,4.0,3.0,0.0
112,104 06 0 123.00,SINGLE FAMILY,NASHVILLE,2013-01-18,394500,No,No,NASHVILLE,TN,0.18,2426.0,214500.0,156800.0,371300.0,1840.0,CRAWL,1950.0,BRICK,C   ,3.0,2.0,0.0
113,104 06 0A 144.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-24,58000,No,No,,,,,,,,,,,,,,,
114,104 09 0 011.00,SINGLE FAMILY,NASHVILLE,2013-01-15,899900,No,No,NASHVILLE,TN,0.27,2626.0,175000.0,567400.0,782300.0,3914.0,FULL BSMT,1935.0,BRICK,B   ,4.0,1.0,1.0
115,104 11 0 240.00,SINGLE FAMILY,NASHVILLE,2013-01-25,860000,No,No,NASHVILLE,TN,0.22,2426.0,214500.0,472700.0,702300.0,3346.25,CRAWL,2005.0,FRAME/STONE,A   ,4.0,2.0,2.0
116,104 11 0F 107.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-18,105700,No,No,,,,,,,,,,,,,,,
117,104 13 0A 029.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-30,345000,No,No,,,,,,,,,,,,,,,
118,104 14 0 049.00,SINGLE FAMILY,NASHVILLE,2013-01-10,555000,No,No,NASHVILLE,TN,0.17,2426.0,214500.0,365600.0,580100.0,3509.77496,PT BSMT,2007.0,FRAME,B   ,4.0,3.0,2.0
119,105 09 0 141.00,DUPLEX,NASHVILLE,2013-01-15,164000,No,No,NASHVILLE,TN,0.14,1626.0,80000.0,69400.0,149400.0,1374.0,CRAWL,1967.0,BRICK,C   ,4.0,2.0,0.0
120,105 09 0 342.00,SINGLE FAMILY,NASHVILLE,2013-01-18,151000,No,No,NASHVILLE,TN,0.13,1626.0,105000.0,50700.0,155700.0,897.0,CRAWL,1940.0,FRAME,C   ,2.0,1.0,0.0
121,105 13 0 109.00,SINGLE FAMILY,NASHVILLE,2013-01-23,600000,No,No,NASHVILLE,TN,0.21,2228.0,180000.0,414300.0,594300.0,3116.0,PT BSMT,1930.0,FRAME,B   ,4.0,5.0,0.0
122,105 13 0 349.00,SINGLE FAMILY,NASHVILLE,2013-01-02,225000,No,No,NASHVILLE,TN,0.18,1626.0,140000.0,83400.0,245200.0,736.0,FULL BSMT,1940.0,FRAME,C   ,2.0,1.0,0.0
123,105 13 0D 002.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-22,519000,No,No,,,,,,,,,,,,,,,
124,105 13 0N 001.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-11,434605,No,No,,,,,,,,,,,,,,,
125,105 14 0 193.00,SINGLE FAMILY,NASHVILLE,2013-01-11,396500,No,No,NASHVILLE,TN,0.19,1626.0,120000.0,259700.0,380200.0,2022.0,FULL BSMT,1935.0,STONE,C   ,3.0,2.0,0.0
126,105 14 0C 019.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-25,245000,No,No,,,,,,,,,,,,,,,
127,115 08 0 089.00,SINGLE FAMILY,NASHVILLE,2013-01-11,433500,No,No,NASHVILLE,TN,1.64,4429.0,275000.0,239000.0,514000.0,2983.0,PT BSMT,1968.0,BRICK,B   ,3.0,2.0,0.0
128,115 15 0 009.00,SINGLE FAMILY,NASHVILLE,2013-01-10,147500,No,No,NASHVILLE,TN,1.12,4430.0,175000.0,184200.0,359200.0,1829.0,CRAWL,1956.0,BRICK,B   ,3.0,2.0,0.0
129,116 04 0F 001.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-30,360000,No,No,,,,,,,,,,,,,,,
130,116 09 0 072.00,SINGLE FAMILY,NASHVILLE,2013-01-30,428000,No,No,NASHVILLE,TN,0.79,4429.0,190000.0,241000.0,431000.0,2676.0,CRAWL,1961.0,BRICK,B   ,3.0,2.0,0.0
131,116 13 0 118.00,SINGLE FAMILY,NASHVILLE,2013-01-11,100000,No,No,NASHVILLE,TN,0.29,4328.0,225000.0,146700.0,371700.0,1754.0,CRAWL,1957.0,BRICK,C   ,3.0,1.0,1.0
132,117 01 0 053.00,SINGLE FAMILY,NASHVILLE,2013-01-18,427000,No,No,NASHVILLE,TN,0.4,3227.0,240000.0,492300.0,732300.0,3188.0,CRAWL,2013.0,FRAME,B   ,4.0,3.0,0.0
133,117 03 0A 023.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-15,171500,No,No,,,,,,,,,,,,,,,
134,117 03 0B 114.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-11,79000,No,No,,,,,,,,,,,,,,,
135,117 03 0C 143.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-11,180259,No,No,,,,,,,,,,,,,,,
136,117 04 0 166.00,SINGLE FAMILY,NASHVILLE,2013-01-18,989000,No,No,NASHVILLE,TN,0.28,2226.0,180000.0,794500.0,987800.0,4171.5,PT BSMT,1936.0,BRICK,B   ,4.0,4.0,0.0
137,117 07 0C 110.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-30,237000,No,No,,,,,,,,,,,,,,,
138,117 07 0G 004.00,SINGLE FAMILY,NASHVILLE,2013-01-18,450000,No,No,,,,,,,,,,,,,,,
139,117 07 0M 014.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-14,170500,No,No,,,,,,,,,,,,,,,
140,117 10 0 015.00,SINGLE FAMILY,NASHVILLE,2013-01-10,1435000,No,No,NASHVILLE,TN,1.58,3227.0,398000.0,971700.0,1402300.0,6753.0,PT BSMT,1942.0,BRICK,X   ,5.0,4.0,2.0
141,117 12 0 114.00,DUPLEX,NASHVILLE,2013-01-31,330000,No,No,NASHVILLE,TN,0.23,3727.0,210000.0,493100.0,716900.0,3371.0,CRAWL,2013.0,FRAME,A   ,4.0,3.0,1.0
142,117 15 0A 117.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-14,145000,No,No,,,,,,,,,,,,,,,
143,117 15 0G 008.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-15,702776,No,No,,,,,,,,,,,,,,,
144,118 01 0 116.00,SINGLE FAMILY,NASHVILLE,2013-01-18,718000,No,No,NASHVILLE,TN,0.18,1626.0,140000.0,473200.0,636000.0,3477.0,CRAWL,2012.0,FRAME,B   ,3.0,3.0,0.0
145,118 01 0 382.00,SINGLE FAMILY,NASHVILLE,2013-01-14,585157,No,No,NASHVILLE,TN,0.27,1626.0,140000.0,481400.0,621400.0,3036.0,PT BSMT,2012.0,FRAME,B   ,3.0,2.0,1.0
146,118 02 0 272.00,SINGLE FAMILY,NASHVILLE,2013-01-14,228000,No,No,,,,,,,,,,,,,,,
147,118 13 0 183.00,SINGLE FAMILY,NASHVILLE,2013-01-28,323000,No,No,NASHVILLE,TN,0.36,3726.0,175000.0,156500.0,331500.0,1768.0,FULL BSMT,1949.0,STUCCO,C   ,3.0,2.0,0.0
148,128 03 0A 004.00,SINGLE FAMILY,NASHVILLE,2013-01-14,205000,No,No,,,,,,,,,,,,,,,
149,128 03 0A 004.00,SINGLE FAMILY,NASHVILLE,2013-01-14,205000,No,No,,,,,,,,,,,,,,,
150,128 10 0 034.00,SINGLE FAMILY,NASHVILLE,2013-01-24,150000,No,No,NASHVILLE,TN,0.24,6732.0,36000.0,109400.0,145400.0,1900.0,SLAB,1969.0,BRICK,C   ,3.0,1.0,1.0
151,128 10 0 181.00,DUPLEX,NASHVILLE,2013-01-18,132000,No,No,NASHVILLE,TN,0.25,6732.0,18000.0,92200.0,110200.0,1889.41998,FULL BSMT,1976.0,BRICK,C   ,4.0,2.0,0.0
152,128 12 0A 069.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-24,185000,No,No,,,,,,,,,,,,,,,
153,128 12 0C 049.00,VACANT RES LAND,NASHVILLE,2013-01-04,194000,No,No,,,,,,,,,,,,,,,
154,128 13 0A 158.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-23,62500,No,No,,,,,,,,,,,,,,,
155,128 13 0A 214.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-18,129000,No,No,,,,,,,,,,,,,,,
156,129 11 0 026.00,SINGLE FAMILY,NASHVILLE,2013-01-25,268000,No,No,NASHVILLE,TN,0.34,4326.0,70000.0,172600.0,242600.0,2610.0,SLAB,1965.0,BRICK,C   ,5.0,3.0,0.0
157,129 11 0A 435.00,ZERO LOT LINE,NASHVILLE,2013-01-28,109000,No,No,,,,,,,,,,,,,,,
158,129 11 0A 703.00,ZERO LOT LINE,NASHVILLE,2013-01-25,174000,No,No,,,,,,,,,,,,,,,
159,129 15 0 042.00,SINGLE FAMILY,NASHVILLE,2013-01-07,224000,No,No,NASHVILLE,TN,0.34,4326.0,66500.0,148900.0,215400.0,1625.0,CRAWL,1968.0,BRICK,C   ,3.0,2.0,0.0
160,130 05 0 010.00,VACANT RES LAND,NASHVILLE,2013-01-15,300000,No,No,NASHVILLE,TN,0.56,4327.0,295000.0,576900.0,887000.0,4485.0,CRAWL,2016.0,FRAME,A   ,5.0,5.0,1.0
161,130 08 0 037.00,SINGLE FAMILY,NASHVILLE,2013-01-18,975000,No,No,NASHVILLE,TN,0.88,3229.0,350000.0,381600.0,731600.0,4060.0,PT BSMT,1945.0,BRICK,A   ,4.0,4.0,0.0
162,130 08 0E 009.00,SINGLE FAMILY,NASHVILLE,2013-01-22,535900,No,No,,,,,,,,,,,,,,,
163,130 09 0 129.00,SINGLE FAMILY,NASHVILLE,2013-01-22,710000,No,No,NASHVILLE,TN,0.38,4327.0,375000.0,310100.0,685900.0,3497.5,CRAWL,1940.0,BRICK/FRAME,B   ,4.0,4.0,0.0
164,130 10 0 096.00,SINGLE FAMILY,NASHVILLE,2013-01-15,616224,No,No,NASHVILLE,TN,0.57,9026.0,448900.0,100100.0,549000.0,2065.59998,PT BSMT,1938.0,STONE,A   ,3.0,2.0,0.0
